2025-02-02 14:26:44.570404 - Starting renaming process...
2025-02-02 14:26:44.571565 - Renamed: m01_R_lines_01_chunk_01.png -> t01_l01g01.png
2025-02-02 14:26:44.571728 - Renamed: m01_R_lines_01_chunk_02.png -> t01_l01g02.png
2025-02-02 14:26:44.571918 - Renamed: m01_R_lines_01_chunk_03.png -> t01_l01g03.png
2025-02-02 14:26:44.572061 - Renamed: m01_R_lines_01_chunk_04.png -> t01_l01g04.png
2025-02-02 14:26:44.572202 - Renamed: m01_R_lines_01_chunk_05.png -> t01_l01g05.png
2025-02-02 14:26:44.572319 - Renamed: m01_R_lines_01_chunk_06.png -> t01_l01g06.png
2025-02-02 14:26:44.572436 - Renamed: m01_R_lines_01_chunk_07.png -> t01_l01g07.png
2025-02-02 14:26:44.572557 - Renamed: m01_R_lines_01_chunk_08.png -> t01_l01g08.png
2025-02-02 14:26:44.572658 - Renamed: m01_R_lines_01_chunk_09.png -> t01_l01g09.png
2025-02-02 14:26:44.572740 - Renamed: m01_R_lines_01_chunk_10.png -> t01_l01g10.png
2025-02-02 14:26:44.572822 - Renamed: m01_R_lines_01_chunk_11.png -> t01_l01g11.png
2025-02-02 14:26:44.572905 - Renamed: m01_R_lines_01_chunk_12.png -> t01_l01g12.png
2025-02-02 14:26:44.572986 - Renamed: m01_R_lines_01_chunk_13.png -> t01_l01g13.png
2025-02-02 14:26:44.573068 - Renamed: m01_R_lines_01_chunk_14.png -> t01_l01g14.png
2025-02-02 14:26:44.573151 - Renamed: m01_R_lines_01_chunk_15.png -> t01_l01g15.png
2025-02-02 14:26:44.573232 - Renamed: m01_R_lines_01_chunk_16.png -> t01_l01g16.png
2025-02-02 14:26:44.573313 - Renamed: m01_R_lines_01_chunk_17.png -> t01_l01g17.png
2025-02-02 14:26:44.573393 - Renamed: m01_R_lines_01_chunk_18.png -> t01_l01g18.png
2025-02-02 14:26:44.573474 - Renamed: m01_R_lines_01_chunk_19.png -> t01_l01g19.png
2025-02-02 14:26:44.573557 - Renamed: m01_R_lines_01_chunk_20.png -> t01_l01g20.png
2025-02-02 14:26:44.573667 - Renamed: m01_R_lines_01_chunk_21.png -> t01_l01g21.png
2025-02-02 14:26:44.573749 - Renamed: m01_R_lines_01_chunk_22.png -> t01_l01g22.png
2025-02-02 14:26:44.573850 - Renamed: m01_R_lines_01_chunk_23.png -> t01_l01g23.png
2025-02-02 14:26:44.573960 - Renamed: m01_R_lines_01_chunk_24.png -> t01_l01g24.png
2025-02-02 14:26:44.574127 - Renamed: m01_R_lines_01_chunk_25.png -> t01_l01g25.png
2025-02-02 14:26:44.574276 - Renamed: m01_R_lines_01_chunk_26.png -> t01_l01g26.png
2025-02-02 14:26:44.574395 - Renamed: m01_R_lines_01_chunk_27.png -> t01_l01g27.png
2025-02-02 14:26:44.574498 - Renamed: m01_R_lines_01_chunk_28.png -> t01_l01g28.png
2025-02-02 14:26:44.574583 - Renamed: m01_R_lines_02_chunk_01.png -> t01_l02g01.png
2025-02-02 14:26:44.574668 - Renamed: m01_R_lines_02_chunk_02.png -> t01_l02g02.png
2025-02-02 14:26:44.574984 - Renamed: m01_R_lines_02_chunk_03.png -> t01_l02g03.png
2025-02-02 14:26:44.575070 - Renamed: m01_R_lines_02_chunk_04.png -> t01_l02g04.png
2025-02-02 14:26:44.575153 - Renamed: m01_R_lines_02_chunk_05.png -> t01_l02g05.png
2025-02-02 14:26:44.575236 - Renamed: m01_R_lines_02_chunk_06.png -> t01_l02g06.png
2025-02-02 14:26:44.575319 - Renamed: m01_R_lines_02_chunk_07.png -> t01_l02g07.png
2025-02-02 14:26:44.575402 - Renamed: m01_R_lines_02_chunk_08.png -> t01_l02g08.png
2025-02-02 14:26:44.575485 - Renamed: m01_R_lines_02_chunk_09.png -> t01_l02g09.png
2025-02-02 14:26:44.575567 - Renamed: m01_R_lines_02_chunk_10.png -> t01_l02g10.png
2025-02-02 14:26:44.575649 - Renamed: m01_R_lines_02_chunk_11.png -> t01_l02g11.png
2025-02-02 14:26:44.575792 - Renamed: m01_R_lines_02_chunk_12.png -> t01_l02g12.png
2025-02-02 14:26:44.575875 - Renamed: m01_R_lines_02_chunk_13.png -> t01_l02g13.png
2025-02-02 14:26:44.575957 - Renamed: m01_R_lines_02_chunk_14.png -> t01_l02g14.png
2025-02-02 14:26:44.576040 - Renamed: m01_R_lines_02_chunk_15.png -> t01_l02g15.png
2025-02-02 14:26:44.576121 - Renamed: m01_R_lines_02_chunk_16.png -> t01_l02g16.png
2025-02-02 14:26:44.576204 - Renamed: m01_R_lines_02_chunk_17.png -> t01_l02g17.png
2025-02-02 14:26:44.576286 - Renamed: m01_R_lines_02_chunk_18.png -> t01_l02g18.png
2025-02-02 14:26:44.576375 - Renamed: m01_R_lines_02_chunk_19.png -> t01_l02g19.png
2025-02-02 14:26:44.576457 - Renamed: m01_R_lines_02_chunk_20.png -> t01_l02g20.png
2025-02-02 14:26:44.576540 - Renamed: m01_R_lines_02_chunk_21.png -> t01_l02g21.png
2025-02-02 14:26:44.576628 - Renamed: m01_R_lines_02_chunk_22.png -> t01_l02g22.png
2025-02-02 14:26:44.576711 - Renamed: m01_R_lines_02_chunk_23.png -> t01_l02g23.png
2025-02-02 14:26:44.576793 - Renamed: m01_R_lines_02_chunk_24.png -> t01_l02g24.png
2025-02-02 14:26:44.576875 - Renamed: m01_R_lines_02_chunk_25.png -> t01_l02g25.png
2025-02-02 14:26:44.576956 - Renamed: m01_R_lines_02_chunk_26.png -> t01_l02g26.png
2025-02-02 14:26:44.577038 - Renamed: m01_R_lines_02_chunk_27.png -> t01_l02g27.png
2025-02-02 14:26:44.577119 - Renamed: m01_R_lines_02_chunk_28.png -> t01_l02g28.png
2025-02-02 14:26:44.577200 - Renamed: m01_R_lines_02_chunk_29.png -> t01_l02g29.png
2025-02-02 14:26:44.577281 - Renamed: m01_R_lines_02_chunk_30.png -> t01_l02g30.png
2025-02-02 14:26:44.577362 - Renamed: m01_R_lines_02_chunk_31.png -> t01_l02g31.png
2025-02-02 14:26:44.577444 - Renamed: m01_R_lines_02_chunk_32.png -> t01_l02g32.png
2025-02-02 14:26:44.577525 - Renamed: m01_R_lines_02_chunk_33.png -> t01_l02g33.png
2025-02-02 14:26:44.577606 - Renamed: m01_R_lines_02_chunk_34.png -> t01_l02g34.png
2025-02-02 14:26:44.577689 - Renamed: m01_R_lines_02_chunk_35.png -> t01_l02g35.png
2025-02-02 14:26:44.577771 - Renamed: m01_R_lines_02_chunk_36.png -> t01_l02g36.png
2025-02-02 14:26:44.577853 - Renamed: m01_R_lines_02_chunk_37.png -> t01_l02g37.png
2025-02-02 14:26:44.577934 - Renamed: m01_R_lines_02_chunk_38.png -> t01_l02g38.png
2025-02-02 14:26:44.578015 - Renamed: m01_R_lines_02_chunk_39.png -> t01_l02g39.png
2025-02-02 14:26:44.578097 - Renamed: m01_R_lines_02_chunk_40.png -> t01_l02g40.png
2025-02-02 14:26:44.578178 - Renamed: m01_R_lines_02_chunk_41.png -> t01_l02g41.png
2025-02-02 14:26:44.578260 - Renamed: m01_R_lines_03_chunk_01.png -> t01_l03g01.png
2025-02-02 14:26:44.578342 - Renamed: m01_R_lines_03_chunk_02.png -> t01_l03g02.png
2025-02-02 14:26:44.578425 - Renamed: m01_R_lines_03_chunk_03.png -> t01_l03g03.png
2025-02-02 14:26:44.578506 - Renamed: m01_R_lines_03_chunk_04.png -> t01_l03g04.png
2025-02-02 14:26:44.578588 - Renamed: m01_R_lines_03_chunk_05.png -> t01_l03g05.png
2025-02-02 14:26:44.578670 - Renamed: m01_R_lines_03_chunk_06.png -> t01_l03g06.png
2025-02-02 14:26:44.578751 - Renamed: m01_R_lines_03_chunk_07.png -> t01_l03g07.png
2025-02-02 14:26:44.578833 - Renamed: m01_R_lines_03_chunk_08.png -> t01_l03g08.png
2025-02-02 14:26:44.578915 - Renamed: m01_R_lines_03_chunk_09.png -> t01_l03g09.png
2025-02-02 14:26:44.579000 - Renamed: m01_R_lines_03_chunk_10.png -> t01_l03g10.png
2025-02-02 14:26:44.579082 - Renamed: m01_R_lines_03_chunk_11.png -> t01_l03g11.png
2025-02-02 14:26:44.579164 - Renamed: m01_R_lines_03_chunk_12.png -> t01_l03g12.png
2025-02-02 14:26:44.579246 - Renamed: m01_R_lines_03_chunk_13.png -> t01_l03g13.png
2025-02-02 14:26:44.579328 - Renamed: m01_R_lines_03_chunk_14.png -> t01_l03g14.png
2025-02-02 14:26:44.579411 - Renamed: m01_R_lines_03_chunk_15.png -> t01_l03g15.png
2025-02-02 14:26:44.579494 - Renamed: m01_R_lines_03_chunk_16.png -> t01_l03g16.png
2025-02-02 14:26:44.579577 - Renamed: m01_R_lines_03_chunk_17.png -> t01_l03g17.png
2025-02-02 14:26:44.579664 - Renamed: m01_R_lines_03_chunk_18.png -> t01_l03g18.png
2025-02-02 14:26:44.579783 - Renamed: m01_R_lines_03_chunk_19.png -> t01_l03g19.png
2025-02-02 14:26:44.579867 - Renamed: m01_R_lines_03_chunk_20.png -> t01_l03g20.png
2025-02-02 14:26:44.579949 - Renamed: m01_R_lines_03_chunk_21.png -> t01_l03g21.png
2025-02-02 14:26:44.580031 - Renamed: m01_R_lines_03_chunk_22.png -> t01_l03g22.png
2025-02-02 14:26:44.580114 - Renamed: m01_R_lines_03_chunk_23.png -> t01_l03g23.png
2025-02-02 14:26:44.580196 - Renamed: m01_R_lines_03_chunk_24.png -> t01_l03g24.png
2025-02-02 14:26:44.580280 - Renamed: m01_R_lines_03_chunk_25.png -> t01_l03g25.png
2025-02-02 14:26:44.580363 - Renamed: m01_R_lines_03_chunk_26.png -> t01_l03g26.png
2025-02-02 14:26:44.580445 - Renamed: m01_R_lines_03_chunk_27.png -> t01_l03g27.png
2025-02-02 14:26:44.580527 - Renamed: m01_R_lines_03_chunk_28.png -> t01_l03g28.png
2025-02-02 14:26:44.580613 - Renamed: m01_R_lines_03_chunk_29.png -> t01_l03g29.png
2025-02-02 14:26:44.580695 - Renamed: m01_R_lines_03_chunk_30.png -> t01_l03g30.png
2025-02-02 14:26:44.580778 - Renamed: m01_R_lines_03_chunk_31.png -> t01_l03g31.png
2025-02-02 14:26:44.580860 - Renamed: m01_R_lines_03_chunk_32.png -> t01_l03g32.png
2025-02-02 14:26:44.580942 - Renamed: m01_R_lines_03_chunk_33.png -> t01_l03g33.png
2025-02-02 14:26:44.581025 - Renamed: m01_R_lines_03_chunk_34.png -> t01_l03g34.png
2025-02-02 14:26:44.581108 - Renamed: m01_R_lines_03_chunk_35.png -> t01_l03g35.png
2025-02-02 14:26:44.581192 - Renamed: m01_R_lines_03_chunk_36.png -> t01_l03g36.png
2025-02-02 14:26:44.581276 - Renamed: m01_R_lines_03_chunk_37.png -> t01_l03g37.png
2025-02-02 14:26:44.581359 - Renamed: m01_R_lines_03_chunk_39.png -> t01_l03g39.png
2025-02-02 14:26:44.581447 - Renamed: m01_R_lines_03_chunk_40.png -> t01_l03g40.png
2025-02-02 14:26:44.581529 - Renamed: m01_R_lines_03_chunk_41.png -> t01_l03g41.png
2025-02-02 14:26:44.581614 - Renamed: m01_R_lines_03_chunk_42.png -> t01_l03g42.png
2025-02-02 14:26:44.581718 - Renamed: m01_R_lines_03_chunk_43.png -> t01_l03g43.png
2025-02-02 14:26:44.581857 - Renamed: m01_R_lines_03_chunk_44.png -> t01_l03g44.png
2025-02-02 14:26:44.581943 - Renamed: m01_R_lines_04_chunk_01.png -> t01_l04g01.png
2025-02-02 14:26:44.582065 - Renamed: m01_R_lines_04_chunk_02.png -> t01_l04g02.png
2025-02-02 14:26:44.582176 - Renamed: m01_R_lines_04_chunk_03.png -> t01_l04g03.png
2025-02-02 14:26:44.582275 - Renamed: m01_R_lines_04_chunk_04.png -> t01_l04g04.png
2025-02-02 14:26:44.582359 - Renamed: m01_R_lines_04_chunk_05.png -> t01_l04g05.png
2025-02-02 14:26:44.582443 - Renamed: m01_R_lines_04_chunk_06.png -> t01_l04g06.png
2025-02-02 14:26:44.582527 - Renamed: m01_R_lines_04_chunk_07.png -> t01_l04g07.png
2025-02-02 14:26:44.582611 - Renamed: m01_R_lines_04_chunk_08.png -> t01_l04g08.png
2025-02-02 14:26:44.582694 - Renamed: m01_R_lines_04_chunk_09.png -> t01_l04g09.png
2025-02-02 14:26:44.582779 - Renamed: m01_R_lines_04_chunk_10.png -> t01_l04g10.png
2025-02-02 14:26:44.582866 - Renamed: m01_R_lines_04_chunk_11.png -> t01_l04g11.png
2025-02-02 14:26:44.582950 - Renamed: m01_R_lines_04_chunk_12.png -> t01_l04g12.png
2025-02-02 14:26:44.583036 - Renamed: m01_R_lines_04_chunk_13.png -> t01_l04g13.png
2025-02-02 14:26:44.583121 - Renamed: m01_R_lines_04_chunk_14.png -> t01_l04g14.png
2025-02-02 14:26:44.583207 - Renamed: m01_R_lines_04_chunk_15.png -> t01_l04g15.png
2025-02-02 14:26:44.583291 - Renamed: m01_R_lines_04_chunk_16.png -> t01_l04g16.png
2025-02-02 14:26:44.583376 - Renamed: m01_R_lines_04_chunk_17.png -> t01_l04g17.png
2025-02-02 14:26:44.583461 - Renamed: m01_R_lines_04_chunk_18.png -> t01_l04g18.png
2025-02-02 14:26:44.583545 - Renamed: m01_R_lines_04_chunk_19.png -> t01_l04g19.png
2025-02-02 14:26:44.583631 - Renamed: m01_R_lines_04_chunk_20.png -> t01_l04g20.png
2025-02-02 14:26:44.583758 - Renamed: m01_R_lines_04_chunk_21.png -> t01_l04g21.png
2025-02-02 14:26:44.583843 - Renamed: m01_R_lines_04_chunk_22.png -> t01_l04g22.png
2025-02-02 14:26:44.583928 - Renamed: m01_R_lines_04_chunk_23.png -> t01_l04g23.png
2025-02-02 14:26:44.584012 - Renamed: m01_R_lines_04_chunk_24.png -> t01_l04g24.png
2025-02-02 14:26:44.584096 - Renamed: m01_R_lines_04_chunk_25.png -> t01_l04g25.png
2025-02-02 14:26:44.584181 - Renamed: m01_R_lines_05_chunk_01.png -> t01_l05g01.png
2025-02-02 14:26:44.584267 - Renamed: m01_R_lines_05_chunk_02.png -> t01_l05g02.png
2025-02-02 14:26:44.584350 - Renamed: m01_R_lines_05_chunk_03.png -> t01_l05g03.png
2025-02-02 14:26:44.584433 - Renamed: m01_R_lines_05_chunk_04.png -> t01_l05g04.png
2025-02-02 14:26:44.584516 - Renamed: m01_R_lines_05_chunk_05.png -> t01_l05g05.png
2025-02-02 14:26:44.584602 - Renamed: m01_R_lines_05_chunk_06.png -> t01_l05g06.png
2025-02-02 14:26:44.584686 - Renamed: m01_R_lines_05_chunk_07.png -> t01_l05g07.png
2025-02-02 14:26:44.584770 - Renamed: m01_R_lines_05_chunk_08.png -> t01_l05g08.png
2025-02-02 14:26:44.584853 - Renamed: m01_R_lines_05_chunk_09.png -> t01_l05g09.png
2025-02-02 14:26:44.584940 - Renamed: m01_R_lines_05_chunk_10.png -> t01_l05g10.png
2025-02-02 14:26:44.585025 - Renamed: m01_R_lines_05_chunk_11.png -> t01_l05g11.png
2025-02-02 14:26:44.585109 - Renamed: m01_R_lines_05_chunk_12.png -> t01_l05g12.png
2025-02-02 14:26:44.585193 - Renamed: m01_R_lines_05_chunk_13.png -> t01_l05g13.png
2025-02-02 14:26:44.585277 - Renamed: m01_R_lines_05_chunk_14.png -> t01_l05g14.png
2025-02-02 14:26:44.585363 - Renamed: m01_R_lines_05_chunk_15.png -> t01_l05g15.png
2025-02-02 14:26:44.585448 - Renamed: m01_R_lines_05_chunk_16.png -> t01_l05g16.png
2025-02-02 14:26:44.585531 - Renamed: m01_R_lines_05_chunk_17.png -> t01_l05g17.png
2025-02-02 14:26:44.585614 - Renamed: m01_R_lines_05_chunk_18.png -> t01_l05g18.png
2025-02-02 14:26:44.585697 - Renamed: m01_R_lines_05_chunk_19.png -> t01_l05g19.png
2025-02-02 14:26:44.585782 - Renamed: m01_R_lines_05_chunk_20.png -> t01_l05g20.png
2025-02-02 14:26:44.585865 - Renamed: m01_R_lines_05_chunk_22.png -> t01_l05g22.png
2025-02-02 14:26:44.585951 - Renamed: m01_R_lines_05_chunk_23.png -> t01_l05g23.png
2025-02-02 14:26:44.586035 - Renamed: m01_R_lines_05_chunk_24.png -> t01_l05g24.png
2025-02-02 14:26:44.586121 - Renamed: m01_R_lines_05_chunk_25.png -> t01_l05g25.png
2025-02-02 14:26:44.586205 - Renamed: m01_R_lines_05_chunk_26.png -> t01_l05g26.png
2025-02-02 14:26:44.586290 - Renamed: m01_R_lines_05_chunk_27.png -> t01_l05g27.png
2025-02-02 14:26:44.586375 - Renamed: m01_R_lines_05_chunk_28.png -> t01_l05g28.png
2025-02-02 14:26:44.586459 - Renamed: m01_R_lines_05_chunk_29.png -> t01_l05g29.png
2025-02-02 14:26:44.586542 - Renamed: m01_R_lines_05_chunk_30.png -> t01_l05g30.png
2025-02-02 14:26:44.586627 - Renamed: m01_R_lines_05_chunk_31.png -> t01_l05g31.png
2025-02-02 14:26:44.586710 - Renamed: m01_R_lines_05_chunk_32.png -> t01_l05g32.png
2025-02-02 14:26:44.586794 - Renamed: m01_R_lines_05_chunk_33.png -> t01_l05g33.png
2025-02-02 14:26:44.586883 - Renamed: m01_R_lines_05_chunk_34.png -> t01_l05g34.png
2025-02-02 14:26:44.586967 - Renamed: m01_R_lines_05_chunk_35.png -> t01_l05g35.png
2025-02-02 14:26:44.587051 - Renamed: m01_R_lines_05_chunk_36.png -> t01_l05g36.png
2025-02-02 14:26:44.587134 - Renamed: m01_R_lines_05_chunk_37.png -> t01_l05g37.png
2025-02-02 14:26:44.587217 - Renamed: m01_R_lines_05_chunk_38.png -> t01_l05g38.png
2025-02-02 14:26:44.587302 - Renamed: m01_R_lines_05_chunk_39.png -> t01_l05g39.png
2025-02-02 14:26:44.587386 - Renamed: m01_R_lines_05_chunk_40.png -> t01_l05g40.png
2025-02-02 14:26:44.587471 - Renamed: m01_R_lines_05_chunk_41.png -> t01_l05g41.png
2025-02-02 14:26:44.587554 - Renamed: m01_R_lines_05_chunk_42.png -> t01_l05g42.png
2025-02-02 14:26:44.587639 - Renamed: m01_R_lines_06_chunk_01.png -> t01_l06g01.png
2025-02-02 14:26:44.587803 - Renamed: m01_R_lines_06_chunk_02.png -> t01_l06g02.png
2025-02-02 14:26:44.587889 - Renamed: m01_R_lines_06_chunk_03.png -> t01_l06g03.png
2025-02-02 14:26:44.587975 - Renamed: m01_R_lines_06_chunk_04.png -> t01_l06g04.png
2025-02-02 14:26:44.588060 - Renamed: m01_R_lines_06_chunk_05.png -> t01_l06g05.png
2025-02-02 14:26:44.588145 - Renamed: m01_R_lines_06_chunk_06.png -> t01_l06g06.png
2025-02-02 14:26:44.588229 - Renamed: m01_R_lines_06_chunk_07.png -> t01_l06g07.png
2025-02-02 14:26:44.588314 - Renamed: m01_R_lines_06_chunk_08.png -> t01_l06g08.png
2025-02-02 14:26:44.588399 - Renamed: m01_R_lines_06_chunk_09.png -> t01_l06g09.png
2025-02-02 14:26:44.588484 - Renamed: m01_R_lines_06_chunk_10.png -> t01_l06g10.png
2025-02-02 14:26:44.588508 - 
Statistics:
2025-02-02 14:26:44.588551 - Max number2 for 01: 06
2025-02-02 14:26:44.588572 - Max number3 for 01: 28
2025-02-02 14:26:44.588592 - Max number3 for 02: 41
2025-02-02 14:26:44.588611 - Max number3 for 03: 44
2025-02-02 14:26:44.588630 - Max number3 for 04: 25
2025-02-02 14:26:44.588649 - Max number3 for 05: 42
2025-02-02 14:26:44.588681 - Max number3 for 06: 10
2025-02-02 14:26:44.588714 - Total number of files: 188
