003 l 1 b 1;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=27,229,10,6;Augezdecki-01b_PT08_404 l 1 b 1; ※
003 l 2 b 1;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=67,105,28,103;Augezdecki-01b_PT08_404 l 2 b 1; ※
003 l 2 b 2;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=126,105,33,103;Augezdecki-01b_PT08_404 l 2 b 2; ※
003 l 2 b 3;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=195,105,33,103;Augezdecki-01b_PT08_404 l 2 b 3; ※
003 l 2 b 4;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=259,105,37,103;Augezdecki-01b_PT08_404 l 2 b 4; ※
003 l 2 b 5;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=329,105,33,103;Augezdecki-01b_PT08_404 l 2 b 5; ※
003 l 2 b 6;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=389,105,25,103;Augezdecki-01b_PT08_404 l 2 b 6; ※
003 l 2 b 7;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=444,105,40,103;Augezdecki-01b_PT08_404 l 2 b 7; ※
003 l 2 b 8;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=505,105,41,103;Augezdecki-01b_PT08_404 l 2 b 8; ※
003 l 2 b 9;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=565,105,35,103;Augezdecki-01b_PT08_404 l 2 b 9; ※
003 l 2 b 10;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=622,105,34,103;Augezdecki-01b_PT08_404 l 2 b 10; ※
003 l 2 b 11;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=683,105,37,103;Augezdecki-01b_PT08_404 l 2 b 11; ※
003 l 2 b 12;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=758,105,10,103;Augezdecki-01b_PT08_404 l 2 b 12; ※
003 l 2 b 13;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=819,105,103,103;Augezdecki-01b_PT08_404 l 2 b 13; ※
003 l 2 b 14;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=969,105,85,103;Augezdecki-01b_PT08_404 l 2 b 14; ※
003 l 2 b 15;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1097,105,58,103;Augezdecki-01b_PT08_404 l 2 b 15; ※
003 l 2 b 16;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1200,105,35,103;Augezdecki-01b_PT08_404 l 2 b 16; ※
003 l 2 b 17;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1271,105,69,103;Augezdecki-01b_PT08_404 l 2 b 17; ※
003 l 2 b 18;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1400,105,64,103;Augezdecki-01b_PT08_404 l 2 b 18; ※
003 l 2 b 19;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1516,105,58,103;Augezdecki-01b_PT08_404 l 2 b 19; ※
003 l 2 b 20;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1628,105,38,103;Augezdecki-01b_PT08_404 l 2 b 20; ※
003 l 2 b 21;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1712,105,65,103;Augezdecki-01b_PT08_404 l 2 b 21; ※
003 l 2 b 22;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1829,105,25,103;Augezdecki-01b_PT08_404 l 2 b 22; ※
003 l 2 b 23;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=1908,105,30,103;Augezdecki-01b_PT08_404 l 2 b 23; ※
003 l 3 b 1;file:Augezdecki-01b_PT08_404.djvu?djvuopts=&page=1&highlight=455,45,3,3;Augezdecki-01b_PT08_404 l 3 b 1; ※
