011 l 1 b 1;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=34,311,136,145;Augezdecki-09_PT08_408 l 1 b 1; ※
011 l 1 b 2;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=204,311,99,145;Augezdecki-09_PT08_408 l 1 b 2; ※
011 l 1 b 3;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=356,311,126,145;Augezdecki-09_PT08_408 l 1 b 3; ※
011 l 1 b 4;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=525,311,138,145;Augezdecki-09_PT08_408 l 1 b 4; ※
011 l 1 b 5;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=693,311,108,145;Augezdecki-09_PT08_408 l 1 b 5; ※
011 l 1 b 6;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=845,311,110,145;Augezdecki-09_PT08_408 l 1 b 6; ※
011 l 1 b 7;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1003,311,92,145;Augezdecki-09_PT08_408 l 1 b 7; ※
011 l 1 b 8;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1128,311,120,145;Augezdecki-09_PT08_408 l 1 b 8; ※
011 l 1 b 9;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1287,311,141,145;Augezdecki-09_PT08_408 l 1 b 9; ※
011 l 1 b 10;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1487,311,50,145;Augezdecki-09_PT08_408 l 1 b 10; ※
011 l 1 b 11;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1594,311,110,145;Augezdecki-09_PT08_408 l 1 b 11; ※
011 l 1 b 12;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1755,311,91,145;Augezdecki-09_PT08_408 l 1 b 12; ※
011 l 1 b 13;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1902,311,153,145;Augezdecki-09_PT08_408 l 1 b 13; ※
011 l 1 b 14;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2089,311,127,145;Augezdecki-09_PT08_408 l 1 b 14; ※
011 l 1 b 15;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2253,311,129,145;Augezdecki-09_PT08_408 l 1 b 15; ※
011 l 1 b 16;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2421,311,102,145;Augezdecki-09_PT08_408 l 1 b 16; ※
011 l 1 b 17;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2567,311,131,145;Augezdecki-09_PT08_408 l 1 b 17; ※
011 l 2 b 1;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=531,77,127,139;Augezdecki-09_PT08_408 l 2 b 1; ※
011 l 2 b 2;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=707,77,111,139;Augezdecki-09_PT08_408 l 2 b 2; ※
011 l 2 b 3;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=861,77,77,139;Augezdecki-09_PT08_408 l 2 b 3; ※
011 l 2 b 4;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=979,77,121,139;Augezdecki-09_PT08_408 l 2 b 4; ※
011 l 2 b 5;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1144,77,138,139;Augezdecki-09_PT08_408 l 2 b 5; ※
011 l 2 b 6;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1307,77,175,139;Augezdecki-09_PT08_408 l 2 b 6; ※
011 l 2 b 7;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1515,77,171,139;Augezdecki-09_PT08_408 l 2 b 7; ※
011 l 2 b 8;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1732,77,122,139;Augezdecki-09_PT08_408 l 2 b 8; ※
011 l 2 b 9;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=1889,77,109,139;Augezdecki-09_PT08_408 l 2 b 9; ※
011 l 2 b 10;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2030,77,148,139;Augezdecki-09_PT08_408 l 2 b 10; ※
011 l 2 b 11;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2206,77,29,139;Augezdecki-09_PT08_408 l 2 b 11; ※
011 l 2 b 12;file:Augezdecki-09_PT08_408.djvu?djvuopts=&page=1&highlight=2261,77,32,139;Augezdecki-09_PT08_408 l 2 b 12; ※
