048 l 1 b 1;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=102,406,58,85;Ungler1-07_PT03_118 l 1 b 1; ※
048 l 1 b 2;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=195,406,58,85;Ungler1-07_PT03_118 l 1 b 2; ※
048 l 1 b 3;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=285,406,58,85;Ungler1-07_PT03_118 l 1 b 3; ※
048 l 1 b 4;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=376,406,65,85;Ungler1-07_PT03_118 l 1 b 4; ※
048 l 1 b 5;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=472,406,39,85;Ungler1-07_PT03_118 l 1 b 5; ※
048 l 1 b 6;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=548,406,44,85;Ungler1-07_PT03_118 l 1 b 6; ※
048 l 1 b 7;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=628,406,53,85;Ungler1-07_PT03_118 l 1 b 7; ※
048 l 1 b 8;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=713,406,72,85;Ungler1-07_PT03_118 l 1 b 8; ※
048 l 1 b 9;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=814,406,46,85;Ungler1-07_PT03_118 l 1 b 9; ※
048 l 1 b 10;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=890,406,61,85;Ungler1-07_PT03_118 l 1 b 10; ※
048 l 1 b 11;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=985,406,48,85;Ungler1-07_PT03_118 l 1 b 11; ※
048 l 1 b 12;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1065,406,89,85;Ungler1-07_PT03_118 l 1 b 12; ※
048 l 1 b 13;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1187,406,62,85;Ungler1-07_PT03_118 l 1 b 13; ※
048 l 1 b 14;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1280,406,64,85;Ungler1-07_PT03_118 l 1 b 14; ※
048 l 1 b 15;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1376,406,67,85;Ungler1-07_PT03_118 l 1 b 15; ※
048 l 1 b 16;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1474,406,69,85;Ungler1-07_PT03_118 l 1 b 16; ※
048 l 1 b 17;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1577,406,63,85;Ungler1-07_PT03_118 l 1 b 17; ※
048 l 1 b 18;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1671,406,67,85;Ungler1-07_PT03_118 l 1 b 18; ※
048 l 1 b 19;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1772,406,56,85;Ungler1-07_PT03_118 l 1 b 19; ※
048 l 1 b 20;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1861,406,72,85;Ungler1-07_PT03_118 l 1 b 20; ※
048 l 1 b 21;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1966,406,50,85;Ungler1-07_PT03_118 l 1 b 21; ※
048 l 2 b 1;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=77,273,37,98;Ungler1-07_PT03_118 l 2 b 1; ※
048 l 2 b 2;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=142,273,30,98;Ungler1-07_PT03_118 l 2 b 2; ※
048 l 2 b 3;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=200,273,38,98;Ungler1-07_PT03_118 l 2 b 3; ※
048 l 2 b 4;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=269,273,31,98;Ungler1-07_PT03_118 l 2 b 4; ※
048 l 2 b 5;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=333,273,40,98;Ungler1-07_PT03_118 l 2 b 5; ※
048 l 2 b 6;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=406,273,45,98;Ungler1-07_PT03_118 l 2 b 6; ※
048 l 2 b 7;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=480,273,42,98;Ungler1-07_PT03_118 l 2 b 7; ※
048 l 2 b 8;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=550,273,26,98;Ungler1-07_PT03_118 l 2 b 8; ※
048 l 2 b 9;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=605,273,29,98;Ungler1-07_PT03_118 l 2 b 9; ※
048 l 2 b 10;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=665,273,26,98;Ungler1-07_PT03_118 l 2 b 10; ※
048 l 2 b 11;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=721,273,45,98;Ungler1-07_PT03_118 l 2 b 11; ※
048 l 2 b 12;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=798,273,44,98;Ungler1-07_PT03_118 l 2 b 12; ※
048 l 2 b 13;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=875,273,40,98;Ungler1-07_PT03_118 l 2 b 13; ※
048 l 2 b 14;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=945,273,41,98;Ungler1-07_PT03_118 l 2 b 14; ※
048 l 2 b 15;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1018,273,38,98;Ungler1-07_PT03_118 l 2 b 15; ※
048 l 2 b 16;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1086,273,38,98;Ungler1-07_PT03_118 l 2 b 16; ※
048 l 2 b 17;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1158,273,39,98;Ungler1-07_PT03_118 l 2 b 17; ※
048 l 2 b 18;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1229,273,19,98;Ungler1-07_PT03_118 l 2 b 18; ※
048 l 2 b 19;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1283,273,21,98;Ungler1-07_PT03_118 l 2 b 19; ※
