084 l 1 b 1;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=25,366,64,79;Wirzbięta-10+8_PT11_563 l 1 b 1; ※
084 l 1 b 2;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=105,366,74,79;Wirzbięta-10+8_PT11_563 l 1 b 2; ※
084 l 1 b 3;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=192,366,56,79;Wirzbięta-10+8_PT11_563 l 1 b 3; ※
084 l 1 b 4;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=264,366,57,79;Wirzbięta-10+8_PT11_563 l 1 b 4; ※
084 l 1 b 5;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=338,366,64,79;Wirzbięta-10+8_PT11_563 l 1 b 5; ※
084 l 1 b 6;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=412,366,54,79;Wirzbięta-10+8_PT11_563 l 1 b 6; ※
084 l 1 b 7;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=483,366,55,79;Wirzbięta-10+8_PT11_563 l 1 b 7; ※
084 l 1 b 8;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=553,366,62,79;Wirzbięta-10+8_PT11_563 l 1 b 8; ※
084 l 1 b 9;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=631,366,68,79;Wirzbięta-10+8_PT11_563 l 1 b 9; ※
084 l 1 b 10;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=715,366,31,79;Wirzbięta-10+8_PT11_563 l 1 b 10; ※
084 l 1 b 11;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=763,366,71,79;Wirzbięta-10+8_PT11_563 l 1 b 11; ※
084 l 1 b 12;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=851,366,49,79;Wirzbięta-10+8_PT11_563 l 1 b 12; ※
084 l 1 b 13;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=915,366,77,79;Wirzbięta-10+8_PT11_563 l 1 b 13; ※
084 l 1 b 14;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1008,366,64,79;Wirzbięta-10+8_PT11_563 l 1 b 14; ※
084 l 1 b 15;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1086,366,71,79;Wirzbięta-10+8_PT11_563 l 1 b 15; ※
084 l 1 b 16;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1171,366,50,79;Wirzbięta-10+8_PT11_563 l 1 b 16; ※
084 l 1 b 17;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1231,366,103,79;Wirzbięta-10+8_PT11_563 l 1 b 17; ※
084 l 1 b 18;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1336,366,73,79;Wirzbięta-10+8_PT11_563 l 1 b 18; ※
084 l 1 b 19;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1425,366,41,79;Wirzbięta-10+8_PT11_563 l 1 b 19; ※
084 l 1 b 20;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1479,366,62,79;Wirzbięta-10+8_PT11_563 l 1 b 20; ※
084 l 1 b 21;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1556,366,69,79;Wirzbięta-10+8_PT11_563 l 1 b 21; ※
084 l 1 b 22;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1636,366,65,79;Wirzbięta-10+8_PT11_563 l 1 b 22; ※
084 l 1 b 23;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1713,366,62,79;Wirzbięta-10+8_PT11_563 l 1 b 23; ※
084 l 1 b 24;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1785,366,70,79;Wirzbięta-10+8_PT11_563 l 1 b 24; ※
084 l 2 b 1;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=28,245,34,92;Wirzbięta-10+8_PT11_563 l 2 b 1; ※
084 l 2 b 2;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=79,245,35,92;Wirzbięta-10+8_PT11_563 l 2 b 2; ※
084 l 2 b 3;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=134,245,33,92;Wirzbięta-10+8_PT11_563 l 2 b 3; ※
084 l 2 b 4;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=184,245,32,92;Wirzbięta-10+8_PT11_563 l 2 b 4; ※
084 l 2 b 5;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=233,245,44,92;Wirzbięta-10+8_PT11_563 l 2 b 5; ※
084 l 2 b 6;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=293,245,41,92;Wirzbięta-10+8_PT11_563 l 2 b 6; ※
084 l 2 b 7;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=351,245,26,92;Wirzbięta-10+8_PT11_563 l 2 b 7; ※
084 l 2 b 8;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=395,245,49,92;Wirzbięta-10+8_PT11_563 l 2 b 8; ※
084 l 2 b 9;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=462,245,41,92;Wirzbięta-10+8_PT11_563 l 2 b 9; ※
084 l 2 b 10;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=518,245,29,92;Wirzbięta-10+8_PT11_563 l 2 b 10; ※
084 l 2 b 11;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=566,245,31,92;Wirzbięta-10+8_PT11_563 l 2 b 11; ※
084 l 2 b 12;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=617,245,32,92;Wirzbięta-10+8_PT11_563 l 2 b 12; ※
084 l 2 b 13;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=665,245,31,92;Wirzbięta-10+8_PT11_563 l 2 b 13; ※
084 l 2 b 14;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=717,245,30,92;Wirzbięta-10+8_PT11_563 l 2 b 14; ※
084 l 2 b 15;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=768,245,34,92;Wirzbięta-10+8_PT11_563 l 2 b 15; ※
