001 l 1 b 1;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=47,903,63,104;Augezdecki-01a_PT08_403 l 1 b 1; ※
001 l 1 b 2;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=136,903,70,104;Augezdecki-01a_PT08_403 l 1 b 2; ※
001 l 1 b 3;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=226,903,60,104;Augezdecki-01a_PT08_403 l 1 b 3; ※
001 l 1 b 4;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=310,903,68,104;Augezdecki-01a_PT08_403 l 1 b 4; ※
001 l 1 b 5;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=397,903,75,104;Augezdecki-01a_PT08_403 l 1 b 5; ※
001 l 1 b 6;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=490,903,54,104;Augezdecki-01a_PT08_403 l 1 b 6; ※
001 l 1 b 7;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=561,903,72,104;Augezdecki-01a_PT08_403 l 1 b 7; ※
001 l 1 b 8;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=653,903,65,104;Augezdecki-01a_PT08_403 l 1 b 8; ※
001 l 1 b 9;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=739,903,55,104;Augezdecki-01a_PT08_403 l 1 b 9; ※
001 l 1 b 10;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=817,903,72,104;Augezdecki-01a_PT08_403 l 1 b 10; ※
001 l 1 b 11;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=916,903,66,104;Augezdecki-01a_PT08_403 l 1 b 11; ※
001 l 1 b 12;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1006,903,55,104;Augezdecki-01a_PT08_403 l 1 b 12; ※
001 l 1 b 13;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1081,903,98,104;Augezdecki-01a_PT08_403 l 1 b 13; ※
001 l 1 b 14;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1206,903,68,104;Augezdecki-01a_PT08_403 l 1 b 14; ※
001 l 1 b 15;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1297,903,71,104;Augezdecki-01a_PT08_403 l 1 b 15; ※
